"Date","Time","DateTime","LWP","Plant_ID"
"30/10/2024","04:45:00",2024-10-30 04:45:00,0,1
"30/10/2024","05:00:00",2024-10-30 05:00:00,0,1
"30/10/2024","05:15:00",2024-10-30 05:15:00,0,1
"30/10/2024","05:30:00",2024-10-30 05:30:00,0,1
"30/10/2024","05:45:00",2024-10-30 05:45:00,0,1
"30/10/2024","06:00:00",2024-10-30 06:00:00,0,1
"30/10/2024","06:15:00",2024-10-30 06:15:00,0,1
"30/10/2024","06:30:00",2024-10-30 06:30:00,0,1
"30/10/2024","06:45:00",2024-10-30 06:45:00,0,1
"30/10/2024","07:00:00",2024-10-30 07:00:00,0,1
"30/10/2024","07:15:00",2024-10-30 07:15:00,0,1
"30/10/2024","07:30:00",2024-10-30 07:30:00,0,1
"30/10/2024","07:45:00",2024-10-30 07:45:00,0,1
"30/10/2024","08:00:00",2024-10-30 08:00:00,-0.05,1
"30/10/2024","08:15:00",2024-10-30 08:15:00,-0.06,1
"30/10/2024","08:30:00",2024-10-30 08:30:00,-0.21,1
"30/10/2024","08:45:00",2024-10-30 08:45:00,-0.32,1
"30/10/2024","09:00:00",2024-10-30 09:00:00,-0.42,1
"30/10/2024","09:15:00",2024-10-30 09:15:00,-0.39,1
"30/10/2024","09:30:00",2024-10-30 09:30:00,-0.39,1
"30/10/2024","09:45:00",2024-10-30 09:45:00,-0.39,1
"30/10/2024","10:00:00",2024-10-30 10:00:00,-0.28,1
"30/10/2024","10:15:00",2024-10-30 10:15:00,-0.38,1
"30/10/2024","10:30:00",2024-10-30 10:30:00,-0.37,1
"30/10/2024","10:45:00",2024-10-30 10:45:00,-0.43,1
"30/10/2024","11:00:00",2024-10-30 11:00:00,-0.46,1
"30/10/2024","11:15:00",2024-10-30 11:15:00,-0.46,1
"30/10/2024","11:30:00",2024-10-30 11:30:00,-0.39,1
"30/10/2024","11:45:00",2024-10-30 11:45:00,-0.42,1
"30/10/2024","12:00:00",2024-10-30 12:00:00,-0.47,1
"30/10/2024","12:15:00",2024-10-30 12:15:00,-0.42,1
"30/10/2024","12:30:00",2024-10-30 12:30:00,-0.43,1
"30/10/2024","12:45:00",2024-10-30 12:45:00,-0.48,1
"30/10/2024","13:00:00",2024-10-30 13:00:00,-0.47,1
"30/10/2024","13:15:00",2024-10-30 13:15:00,-0.42,1
"30/10/2024","13:30:00",2024-10-30 13:30:00,-0.51,1
"30/10/2024","13:45:00",2024-10-30 13:45:00,-0.56,1
"30/10/2024","14:00:00",2024-10-30 14:00:00,-0.43,1
"30/10/2024","14:15:00",2024-10-30 14:15:00,-0.55,1
"30/10/2024","14:30:00",2024-10-30 14:30:00,-0.49,1
"30/10/2024","14:45:00",2024-10-30 14:45:00,-0.55,1
"30/10/2024","15:00:00",2024-10-30 15:00:00,-0.55,1
"30/10/2024","15:15:00",2024-10-30 15:15:00,-0.57,1
"30/10/2024","15:30:00",2024-10-30 15:30:00,-0.58,1
"30/10/2024","15:45:00",2024-10-30 15:45:00,-0.55,1
"30/10/2024","16:00:00",2024-10-30 16:00:00,-0.57,1
"30/10/2024","16:15:00",2024-10-30 16:15:00,-0.6,1
"30/10/2024","16:30:00",2024-10-30 16:30:00,-0.6,1
"30/10/2024","16:45:00",2024-10-30 16:45:00,-0.59,1
"30/10/2024","17:00:00",2024-10-30 17:00:00,-0.53,1
"30/10/2024","17:15:00",2024-10-30 17:15:00,-0.61,1
"30/10/2024","17:30:00",2024-10-30 17:30:00,-0.56,1
"30/10/2024","17:45:00",2024-10-30 17:45:00,-0.58,1
"30/10/2024","18:00:00",2024-10-30 18:00:00,-0.61,1
"30/10/2024","18:15:00",2024-10-30 18:15:00,-0.6,1
"30/10/2024","18:30:00",2024-10-30 18:30:00,-0.63,1
"30/10/2024","18:45:00",2024-10-30 18:45:00,-0.65,1
"30/10/2024","19:00:00",2024-10-30 19:00:00,-0.69,1
"30/10/2024","19:15:00",2024-10-30 19:15:00,-0.72,1
"30/10/2024","19:30:00",2024-10-30 19:30:00,-0.63,1
"30/10/2024","19:45:00",2024-10-30 19:45:00,-0.79,1
"30/10/2024","20:00:00",2024-10-30 20:00:00,-0.72,1
"30/10/2024","20:15:00",2024-10-30 20:15:00,-0.79,1
"30/10/2024","20:30:00",2024-10-30 20:30:00,-0.77,1
"30/10/2024","20:45:00",2024-10-30 20:45:00,-0.82,1
"30/10/2024","21:00:00",2024-10-30 21:00:00,-0.81,1
"30/10/2024","21:15:00",2024-10-30 21:15:00,-0.78,1
"30/10/2024","21:30:00",2024-10-30 21:30:00,-0.83,1
"30/10/2024","21:45:00",2024-10-30 21:45:00,-0.82,1
"30/10/2024","22:00:00",2024-10-30 22:00:00,-0.77,1
"30/10/2024","22:15:00",2024-10-30 22:15:00,-0.77,1
"30/10/2024","22:30:00",2024-10-30 22:30:00,-0.81,1
"30/10/2024","22:45:00",2024-10-30 22:45:00,-0.75,1
"30/10/2024","23:00:00",2024-10-30 23:00:00,-0.8,1
"30/10/2024","23:15:00",2024-10-30 23:15:00,-0.8,1
"30/10/2024","23:30:00",2024-10-30 23:30:00,-0.77,1
"30/10/2024","23:45:00",2024-10-30 23:45:00,-0.78,1
"31/10/2024","00:00:00",2024-10-31,-0.62,1
"31/10/2024","00:15:00",2024-10-31 00:15:00,-0.43,1
"31/10/2024","00:30:00",2024-10-31 00:30:00,-0.31,1
"31/10/2024","00:45:00",2024-10-31 00:45:00,-0.24,1
