"Date","Time","Weight","DateTime","Plant_ID"
2024-10-31,"12:02:58",1187.6,2024-10-31 12:02:58,4
2024-10-31,"12:17:58",1184.6,2024-10-31 12:17:58,4
2024-10-31,"12:32:58",1181.5,2024-10-31 12:32:58,4
2024-10-31,"12:47:58",1179.5,2024-10-31 12:47:58,4
2024-10-31,"13:02:58",1175.7,2024-10-31 13:02:58,4
2024-10-31,"13:17:58",1172.7,2024-10-31 13:17:58,4
2024-10-31,"13:32:58",1170.7,2024-10-31 13:32:58,4
2024-10-31,"13:47:58",1167.6,2024-10-31 13:47:58,4
2024-10-31,"14:02:58",1165.6,2024-10-31 14:02:58,4
2024-10-31,"14:17:58",1162.6,2024-10-31 14:17:58,4
2024-10-31,"14:32:58",1160.6,2024-10-31 14:32:58,4
2024-10-31,"14:47:58",1158.5,2024-10-31 14:47:58,4
2024-10-31,"15:02:58",1156.5,2024-10-31 15:02:58,4
2024-10-31,"15:17:58",1154.5,2024-10-31 15:17:58,4
2024-10-31,"15:32:58",1152.5,2024-10-31 15:32:58,4
2024-10-31,"15:47:58",1150.5,2024-10-31 15:47:58,4
2024-10-31,"16:02:58",1147.4,2024-10-31 16:02:58,4
2024-10-31,"16:17:58",1145.4,2024-10-31 16:17:58,4
2024-10-31,"16:32:58",1143.4,2024-10-31 16:32:58,4
2024-10-31,"16:47:58",1141.4,2024-10-31 16:47:58,4
2024-10-31,"17:02:58",1139.3,2024-10-31 17:02:58,4
2024-10-31,"17:17:58",1137.3,2024-10-31 17:17:58,4
2024-10-31,"17:32:58",1134.3,2024-10-31 17:32:58,4
2024-10-31,"17:47:58",1132.3,2024-10-31 17:47:58,4
2024-10-31,"18:02:58",1131.3,2024-10-31 18:02:58,4
2024-10-31,"18:17:58",1129.2,2024-10-31 18:17:58,4
2024-10-31,"18:32:58",1127.2,2024-10-31 18:32:58,4
2024-10-31,"18:47:58",1125.2,2024-10-31 18:47:58,4
2024-10-31,"19:02:58",1124.2,2024-10-31 19:02:58,4
2024-10-31,"19:17:58",1122.2,2024-10-31 19:17:58,4
2024-10-31,"19:32:58",1120.2,2024-10-31 19:32:58,4
